Coverage,BFS,DFS,Dijstra
23,56,1236,46
28,133,2843,87
13,59,4087,40
12,25,4427,14
26,0,0,60
16,87,1311,67
23,101,3327,80
28,133,2843,87
13,59,4087,40
12,25,4427,14
26,0,0,60
16,87,1311,67
23,101,3327,80
28,133,2843,87
13,59,4087,40
12,25,4427,14
26,0,0,60
16,87,1311,67
23,101,3327,80
28,133,2843,87
13,59,4087,40
12,25,4427,14
26,0,0,60
16,87,1311,67
23,99,2847,81
14,197,405,121
15,104,646,79
17,101,2933,57
16,68,4930,54
27,140,766,115
18,83,4745,56
24,45,3631,25
27,71,1323,46
18,83,4745,56
24,45,3631,25
27,71,1323,46
18,83,4745,56
24,45,3631,25
27,71,1323,46
18,83,4745,56
24,45,3631,25
27,71,1323,46
18,83,4745,56
24,45,3631,25
27,71,1323,46
18,83,4745,56
24,45,3631,25
27,71,1323,46
18,83,4745,56
24,45,3631,25
27,71,1323,46
18,83,4745,56
24,45,3631,25
27,71,1323,46
18,83,4745,56
24,45,3631,25
27,71,1323,46
18,83,4745,56
24,45,3631,25
27,79,1747,55
16,148,3484,84
15,12,1270,9
13,83,893,49
14,77,2909,59
22,137,4323,110
27,40,2922,35
16,148,3484,84
15,12,1270,9
13,83,893,49
14,77,2909,59
22,137,4323,110
27,40,2922,35
16,148,3484,84
15,12,1270,9
13,83,893,49
14,77,2909,59
22,137,4323,110
27,40,2922,35
16,148,3484,84
15,12,1270,9
13,83,893,49
14,77,2909,59
22,137,4323,110
27,40,2922,35
16,148,3484,84
15,12,1270,9
13,83,893,49
14,77,2909,59
22,137,4323,110
27,40,2922,35
16,148,3484,84
15,12,1270,9
13,83,893,49
14,77,3649,59
22,62,62,48
13,79,4911,54
23,112,3306,96
26,0,360,0
28,83,835,60
14,75,2075,43
22,62,62,48
13,79,4911,54
23,112,3306,96
26,0,360,0
28,83,835,60
14,75,2075,43
22,62,62,48
13,79,4911,54
23,112,3306,96
26,0,360,0
28,83,835,60
14,75,2075,43
22,62,62,48
13,79,4911,54
23,112,3306,96
26,0,360,0
